job_title,cleaned_description
Data Scientist,"Seeking experienced data scientist with Python, machine learning, and statistical analysis skills."
Software Engineer,"Looking for software engineer with Java, React, and full-stack development experience."
DevOps Engineer,"DevOps engineer needed with AWS, Docker, Kubernetes, and CI/CD pipeline expertise."
Web Developer,"Web developer position requires HTML, CSS, JavaScript, and modern framework knowledge."
Marketing Manager,"Marketing manager role involves digital marketing, campaign management, and analytics."
Financial Analyst,"Financial analyst position requires Excel, financial modeling, and data analysis skills."
HR Manager,"HR manager needed with recruitment, employee relations, and policy development experience."
Sales Representative,"Sales representative role involves client acquisition, relationship management, and target achievement."
Graphic Designer,"Graphic designer position requires Adobe Creative Suite, branding, and visual design skills."
Project Manager,"Project manager role involves team coordination, timeline management, and stakeholder communication."
